sample_name,min,max,mean,std,diff_min,diff_max,q25,q50,q75,count,count_nan
MAC000002-2012-10-31,0.0,2.1600001,0.28962043806047966,0.2554364768753038,-1.3310001,1.0340001,0.122,0.194,0.3755,959,0
MAC000002-2012-11-30,0.071,1.714,0.24785919525862068,0.20182164304877243,-1.127,1.008,0.126,0.197,0.273,1392,0
MAC000002-2012-12-31,0.069,1.692,0.23908736572580644,0.21091096978125018,-1.182,1.185,0.112,0.1695,0.268,1488,1
MAC000002-2013-01-31,0.071,1.603,0.24182807259905978,0.21257150658597912,-1.2500001,1.077,0.116,0.197,0.263,1489,0
MAC000002-2013-02-28,0.065,2.994,0.28389442401486986,0.3110729297674561,-1.6789999000000002,1.9830001,0.113,0.189,0.276,1345,0
MAC000002-2013-03-31,0.065,2.5239999,0.32247817320349226,0.3653209606073688,-1.397,2.2339999,0.106,0.15,0.404,1489,0
MAC000002-2013-04-30,0.067,1.681,0.2517244972241499,0.21618935354210975,-1.1600000000000001,1.1480001,0.111,0.161,0.345,1441,0
MAC000002-2013-05-31,0.068,1.398,0.20420685030221625,0.17495274037496106,-1.192,1.155,0.109,0.143,0.217,1489,0
MAC000002-2013-06-30,0.071,1.513,0.2082741151977793,0.1730105342098201,-1.291,1.165,0.116,0.148,0.218,1441,0
MAC000002-2013-07-31,0.069,1.546,0.18221692404298187,0.15089712177612843,-1.222,1.3880000000000001,0.109,0.139,0.187,1489,0
MAC000002-2013-08-31,0.075,1.266,0.18136333102753524,0.1499065799088443,-1.115,1.184,0.115,0.144,0.187,1489,0
MAC000002-2013-09-30,0.065,1.751,0.2232755031922276,0.22205471311988328,-1.148,1.168,0.102,0.134,0.248,1441,0
MAC000002-2013-10-31,0.075,1.965,0.25409805218267295,0.2471535741237781,-1.3349999000000001,1.706,0.115,0.158,0.255,1489,0
MAC000002-2013-11-30,0.072,2.095,0.2846106869535045,0.28015708943270434,-1.08,1.136,0.115,0.182,0.302,1441,0
MAC000002-2013-12-31,0.073,2.352,0.25316655473472127,0.23502533162632866,-1.1280001999999998,1.2770001,0.104,0.136,0.361,1489,0
MAC000002-2014-01-31,0.072,2.5039999,0.3294012095430108,0.3090943657739219,-1.188,1.8689999000000002,0.117,0.2395,0.437,1488,0
MAC000002-2014-02-28,0.072,2.447,0.31964329768875194,0.30744239687956804,-1.0450001,1.59,0.116,0.212,0.433,1298,0
MAC000003-2012-02-29,0.04,3.3789999,0.3939515407488987,0.4859110912108809,-1.5579999,3.0329999,0.14125,0.2055,0.3915,454,0
MAC000003-2012-03-31,0.047,3.704,0.3710664881128274,0.5340590703952014,-1.8489999999999998,3.1129999,0.106,0.167,0.289,1489,0
MAC000003-2012-04-30,0.036,2.3210001,0.30613462921582235,0.33564874145600304,-1.6660000000000001,1.641,0.121,0.169,0.325,1441,0
MAC000003-2012-05-31,0.065,2.1199999,0.27752486545698923,0.2991152144145672,-1.7159999,1.6339998999999998,0.125,0.171,0.27825,1488,0
MAC000003-2012-06-30,0.054,1.603,0.27108327550312283,0.3055218826902537,-1.425,1.49,0.119,0.168,0.271,1441,0
MAC000003-2012-07-31,0.047,1.744,0.25721692384150435,0.2912112473222716,-1.4409999999999998,1.561,0.111,0.152,0.273,1489,0
MAC000003-2012-08-31,0.052,1.748,0.2661490933512424,0.29974488808907973,-1.4729999999999999,1.637,0.116,0.156,0.28,1489,0
