sample_name,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Histogram_0,Histogram_1,Histogram_2,Histogram_3,Histogram_4,Histogram_5,Histogram_6,Histogram_7,Histogram_8,Histogram_9,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Median,Median absolute deviation,Min,Root mean square,Skewness,Standard deviation,Variance
MAC000036-2012-11,298.0,1194.0,0.0,0.061,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1436.0,57.0,0.0,0.0,0.0,0.053,5.074240039105595,0.31,0.03863697253851306,0.03859000676970313,0.019,0.019,0.0,0.06764255864557878,2.197998800530742,0.055522068523954964,0.00308270009317875
MAC000036-2012-12,298.0,1194.0,0.001,0.07,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1417.0,73.0,3.0,0.0,0.0,0.055,6.370604357587105,0.431,0.05012793034159411,0.040129129507695885,0.042,0.032,0.0,0.07869048373474757,2.2671686851616397,0.060657916466664616,0.0036793828300768624
MAC000036-2013-01,298.0,1194.0,0.0,0.069,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1401.0,91.0,1.0,0.0,0.0,0.055,5.001360468693536,0.412,0.05084594775619559,0.041785390092366745,0.041,0.032,0.0,0.08109222173542875,2.1566910706872235,0.06317149691721871,0.003990638022762174
MAC000036-2013-02,298.0,1194.0,0.0,0.065,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1404.0,89.0,0.0,0.0,0.0,0.058,4.545888385508558,0.398,0.04693904889484261,0.042598663376175225,0.036,0.033999999999999996,0.0,0.0788862186886614,2.1228406232961485,0.06340158663505897,0.004019761187842888
MAC000036-2013-03,298.0,1194.0,0.0,0.071,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1414.0,75.0,4.0,0.0,0.0,0.06,6.256517164024903,0.419,0.05047488278633623,0.041393280273336296,0.041,0.033999999999999996,0.0,0.08048925660401587,2.2810938662376588,0.06269614530712977,0.003930806636372731
MAC000036-2013-04,298.0,1194.0,0.0,0.072,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1395.0,97.0,1.0,0.0,0.0,0.063,3.9370611690857826,0.404,0.05141661085063629,0.04306924971142402,0.04,0.033999999999999996,0.0,0.08148015755395141,1.9926130160457545,0.06320876682589982,0.003995348203650974
MAC000036-2013-05,298.0,1194.0,0.005,0.084,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1406.0,87.0,0.0,0.0,0.0,0.060000000000000005,3.0491947278728873,0.354,0.05685130609511052,0.04277804121847479,0.043,0.03,0.0,0.08348569549917265,1.770637536766316,0.06113747090173608,0.003737790348260626
MAC000036-2013-06,298.0,1194.0,0.001,0.082,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1412.0,81.0,0.0,0.0,0.0,0.062000000000000006,2.9125713443111056,0.293,0.054986604152712656,0.041994099725936936,0.043,0.032,0.0,0.0813038301252417,1.7407376577439286,0.059889783409084414,0.0035867861567870423
MAC000036-2013-07,298.0,1194.0,0.011,0.094,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1411.0,81.0,1.0,0.0,0.0,0.056999999999999995,3.2277691271375044,0.402,0.0613476222371065,0.04078544078663143,0.051,0.028999999999999998,0.0,0.08475910468612544,1.6960816794659999,0.05848568263299016,0.0034205750730468467
MAC000036-2013-08,298.0,1194.0,0.011,0.095,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1409.0,83.0,1.0,0.0,0.0,0.059000000000000004,3.9893017356475973,0.401,0.06338379102478232,0.04136385157975442,0.053,0.029000000000000005,0.0,0.08746706585247535,1.8020982996833812,0.06027422868994662,0.0036329826441679845
MAC000036-2013-09,298.0,1194.0,0.019,0.068,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1404.0,89.0,0.0,0.0,0.0,0.044,4.071100432164864,0.275,0.05494842598794374,0.0364370868473506,0.034,0.019000000000000003,0.0,0.07772279731006387,2.1254530996052634,0.05496820629371803,0.003021503703148742
MAC000036-2013-10,298.0,1194.0,0.019,0.066,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1404.0,89.0,0.0,0.0,0.0,0.044,4.516573785334996,0.383,0.05401205626255861,0.036650095175117275,0.03,0.019999999999999997,0.0,0.07736070817577531,2.191234418652824,0.055383905132697815,0.0030673769477476717
MAC000036-2013-11,298.0,1194.0,0.013,0.063,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1396.0,97.0,0.0,0.0,0.0,0.044,4.6811785543912965,0.328,0.04889149363697254,0.03788761395554786,0.024,0.022,0.0,0.07550281995061937,2.256444960513635,0.05753518636835654,0.0033102976704415202
MAC000036-2013-12,298.0,1194.0,0.015,0.064,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1374.0,119.0,0.0,0.0,0.0,0.044,4.846361019735511,0.37,0.052637642330877435,0.04023455383887927,0.028,0.022,0.0,0.08162569562461491,2.2808722642454438,0.06238615868963963,0.003892032796048898
MAC000036-2014-01,298.0,1194.0,0.012,0.065,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1391.0,102.0,0.0,0.0,0.0,0.045,4.318204202755978,0.36,0.050375083724045554,0.03923972779422974,0.027,0.020999999999999998,0.0,0.07788707541742536,2.199725120887352,0.059403261331976605,0.003528747456875107
MAC000036-2014-02,298.0,1194.0,0.0,0.068,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1398.0,95.0,0.0,0.0,0.0,0.057,4.933937805694639,0.399,0.04767582049564635,0.03966901490276795,0.029,0.028,0.0,0.07636704121055883,2.217435792799405,0.05965686149406536,0.003558941123322098
MAC000037-2011-12,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,2.0,1.0,0.0,0.0,549.4126202490439,0.663,0.001277963831212324,0.002525485083549083,0.0,0.0,0.0,0.02387486915342367,22.810957492762086,0.023840641466605177,0.0005683761855392143
MAC000037-2012-01,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,1.0,1.0,1.0,1.0,0.0,530.9765786508001,0.908,0.0016490288010716676,0.0032763667375638665,0.0,0.0,0.0,0.03335491821791068,22.372163826782916,0.03331413023533326,0.0011098312733367453
MAC000037-2012-02,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,2.0,0.0,1.0,0.0,583.8734410231932,0.801,0.001434695244474213,0.002833456779101761,0.0,0.0,0.0,0.028541998525668275,23.657778366147202,0.028505917445238154,0.000812587329394733
MAC000037-2012-03,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1491.0,0.0,0.0,2.0,0.0,0.0,742.448538939718,0.752,0.001000669792364367,0.001994638072110573,0.0,0.0,0.0,0.026965508469513868,27.27521597081926,0.026946935020259234,0.0007261373069860735
MAC000037-2012-04,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1491.0,0.0,0.0,2.0,0.0,0.0,735.0370896965412,0.654,0.000969189551239116,0.0019227993642131692,0.0,0.0,0.0,0.02380776719830148,27.09213430524719,0.02378803166683382,0.0005658704505822886
MAC000037-2012-05,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,1.0,1.0,1.0,1.0,0.0,560.4965857983959,0.992,0.0018057602143335563,0.0035873307405983454,0.0,0.0,0.0,0.035576770946003616,22.920374192635286,0.035530914159260484,0.0012624458609927372
MAC000037-2012-06,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,0.0,1.0,2.0,1.0,0.0,422.95445931987945,0.843,0.0018821165438713996,0.003749105560263591,0.0,0.0,0.0,0.037155508543650795,20.39557828958068,0.037107808510508856,0.0013769894524525933
MAC000037-2012-07,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,1.0,1.0,1.0,1.0,0.0,501.5665865356393,0.843,0.0016798392498325518,0.003339425916612869,0.0,0.0,0.0,0.03194842628984809,21.741553722501198,0.03190423298705955,0.0010178800824925788
MAC000037-2012-08,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,1.0,4.0,0.0,0.0,304.05334257620757,0.768,0.0024119223040857335,0.004788855695859534,0.0,0.0,0.0,0.03936065572398538,17.308643909691394,0.039286687946697124,0.0015434438498211568
MAC000037-2012-09,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,0.0,1.0,2.0,1.0,0.0,411.9459452517828,0.8,0.0018117883456128603,0.0035955396225026913,0.0,0.0,0.0,0.03411647242251062,20.072264284141852,0.034068330066891,0.0011606511135466295
MAC000037-2012-10,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,1.0,0.0,1.0,1.0,0.0,616.0785734316829,0.812,0.0015036838580040188,0.0029798420761499634,0.0,0.0,0.0,0.030619928807682457,24.351769516677923,0.030582985057752612,0.0009353189750427195
MAC000037-2012-11,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,3.0,0.0,0.0,483.74233164424567,0.748,0.0017287340924313462,0.0034074970985384346,0.0,0.0,0.0,0.03276336436030793,21.93915130312303,0.03271772490018157,0.0010704495226439613
MAC000037-2012-12,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,2.0,1.0,0.0,490.9466502472628,0.802,0.0017635632953784328,0.0034822401840426116,0.0,0.0,0.0,0.033630243859900225,22.06241540403454,0.03358397157245627,0.0011278831465795507
MAC000037-2013-01,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1491.0,0.0,0.0,2.0,0.0,0.0,749.872549557679,0.681,0.0008740790354989954,0.0017411326534320238,0.0,0.0,0.0,0.023696492939440112,27.38114518745773,0.023680366624455725,0.0005607597634686366
MAC000037-2013-02,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,0.0,1.0,2.0,1.0,0.0,410.1085358726624,0.815,0.0018506363027461486,0.0036812398471276326,0.0,0.0,0.0,0.03614886057073757,20.105563892433114,0.03610145794614926,0.0013033152658375837
MAC000037-2013-03,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,2.0,1.0,0.0,497.33673546429003,0.849,0.0016751507032819828,0.0033238425893733154,0.0,0.0,0.0,0.035214156792120414,22.273797066558316,0.035174290450573895,0.001237230708701334
MAC000037-2013-04,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,2.0,1.0,0.0,0.0,486.9434025130801,0.642,0.0012806430006697923,0.0025544238821129544,0.0,0.0,0.0,0.027130603723579286,22.00533328158426,0.02710036184095574,0.0007344296119107299
MAC000037-2013-05,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1491.0,0.0,0.0,2.0,0.0,0.0,740.2005250004079,0.646,0.0008847957133288682,0.0017601093560527389,0.0,0.0,0.0,0.023141560343617876,27.212469399008807,0.023124639493038206,0.0005347489516829823
MAC000037-2013-06,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1489.0,1.0,1.0,2.0,0.0,0.0,512.5736440208373,0.742,0.001421969189551239,0.0028273600086853186,0.0,0.0,0.0,0.029045740770934917,22.250600177044856,0.02901091278392181,0.0008416330605563178
MAC000037-2013-07,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1485.0,1.0,5.0,2.0,0.0,0.0,196.67580245486488,0.622,0.002925653047555258,0.005805516164068173,0.0,0.0,0.0,0.03922470345353913,13.94356569200551,0.03911544343687561,0.0015300179152634155
MAC000037-2013-08,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,2.0,3.0,0.0,0.0,303.93358906030437,0.725,0.002194239785666443,0.004369503765955795,0.0,0.0,0.0,0.03782148643166832,17.415400259124905,0.03775778261052771,0.0014256501476638689
MAC000037-2013-09,0.0,0.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1488.0,0.0,1.0,4.0,0.0,0.0,292.00625985292885,0.706,0.0023007367716008035,0.004574138118991551,0.0,0.0,0.0,0.03739556119809984,17.035725137249745,0.03732471845344093,0.0013931346076286341
MAC000037-2013-10,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,2.0,1.0,0.0,514.7340513876608,0.862,0.0015914266577361016,0.0031644589239626405,0.0,0.0,0.0,0.03359316901824754,22.505546151626973,0.033555452103668545,0.0011259683658815939
MAC000037-2013-11,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,1.0,2.0,0.0,0.0,567.5087234509867,0.757,0.0013382451440053585,0.002662601853974498,0.0,0.0,0.0,0.029800070575353478,23.570675277671647,0.029770006822817396,0.0008862533062305943
MAC000037-2013-12,298.0,1194.0,0.0,0.0,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1490.0,0.0,0.0,2.0,1.0,0.0,507.07767579235053,0.831,0.0015391828533154722,0.0030639326457157284,0.0,0.0,0.0,0.03281646377519431,22.37125010202773,0.03278034793672422,0.0010745512108527
