sample_name,ECDF Percentile Count_0,ECDF Percentile Count_1,ECDF Percentile_0,ECDF Percentile_1,ECDF_0,ECDF_1,ECDF_2,ECDF_3,ECDF_4,ECDF_5,ECDF_6,ECDF_7,ECDF_8,ECDF_9,Histogram_0,Histogram_1,Histogram_2,Histogram_3,Histogram_4,Histogram_5,Histogram_6,Histogram_7,Histogram_8,Histogram_9,Interquartile range,Kurtosis,Max,Mean,Mean absolute deviation,Median,Median absolute deviation,Min,Root mean square,Skewness,Standard deviation,Variance
MAC000326-2012-04,298.0,1194.0,0.0,0.135,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1301.0,48.0,18.0,26.0,13.0,0.11,17.632943752812277,3.385,0.1447863363697254,0.21080955173618887,0.0,0.0,0.0,0.4161250383777729,3.9023271589499156,0.3901242934829049,0.1521969643655357
MAC000326-2012-05,298.0,1194.0,0.085,0.412,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,953.0,231.0,66.0,60.0,49.0,0.232,17.1178395241434,4.9640002,0.33346885505693236,0.3076381359735026,0.139,0.06600000000000002,0.0,0.588818775663058,3.489076020112041,0.4852896797587614,0.23550607328036122
MAC000326-2012-06,298.0,1194.0,0.047,0.361,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1005.0,213.0,99.0,74.0,35.0,0.23099999999999998,12.015731326022207,3.0,0.2398251846617549,0.22848535562161262,0.088,0.05299999999999999,0.0,0.4181711177442463,2.993576935834798,0.3425652704484614,0.11735096451742749
MAC000326-2012-07,298.0,1194.0,0.046,0.188,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1209.0,172.0,51.0,26.0,16.0,0.09199999999999998,14.344315630944465,1.636,0.1437381112525117,0.12063715612568408,0.073,0.027999999999999997,0.0,0.24345314018934103,3.4621569868630218,0.1964911876945414,0.0386087868416115
MAC000326-2012-08,298.0,1194.0,0.052,0.168,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1241.0,163.0,46.0,23.0,12.0,0.08200000000000002,26.41148784564612,1.951,0.13692498332217012,0.101345420501299,0.079,0.028000000000000004,0.0,0.21831454669580616,4.199788907900882,0.17003761419526783,0.028912790241218747
MAC000326-2012-09,298.0,1194.0,0.048,0.242,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1153.0,165.0,50.0,45.0,31.0,0.123,10.944968962053066,2.3659999,0.1877334224380442,0.17603880458446627,0.077,0.034999999999999996,0.0,0.3371276835571793,3.078375223788713,0.28002006556732406,0.07841123712032846
MAC000326-2012-10,298.0,1194.0,0.047,0.439,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,1025.0,153.0,69.0,54.0,43.0,0.22999999999999998,3.6932460386582955,2.2019999,0.28273208285331547,0.30024809204669795,0.077,0.039,0.0,0.5019119613119124,2.083377316503289,0.41470252740174696,0.17197818623339667
MAC000326-2012-11,298.0,1194.0,0.118,1.128,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,780.0,203.0,57.0,51.0,67.0,0.735,2.691756638285238,4.112,0.5536905572002679,0.5379445189003023,0.187,0.10599999999999998,0.0,0.8767933448434063,1.7179296053010606,0.6798480245091143,0.4621933364289452
MAC000326-2012-12,298.0,1194.0,0.158,0.705,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,712.0,370.0,83.0,42.0,48.0,0.32899999999999996,7.039594222270351,4.3369999,0.486754856664434,0.4291837443815726,0.206,0.05499999999999999,0.0,0.7809576285827085,2.509747715314493,0.6107082176908329,0.37296452715511386
MAC000326-2013-01,298.0,1194.0,0.168,1.257,0.0006697923643670462,0.0013395847287340924,0.0020093770931011385,0.0026791694574681848,0.003348961821835231,0.004018754186202277,0.004688546550569324,0.0053583389149363695,0.006028131279303416,0.006697923643670462,0.0,0.0,0.0,0.0,0.0,531.0,416.0,77.0,41.0,39.0,0.8699999999999999,3.1962800066189914,5.3130002,0.6256048225720027,0.5497781467373755,0.242,0.095,0.0,0.9280100315767968,1.7162319093965568,0.6854350623376517,0.46982122468182047
